id,category,level,has_table,has_fomula,question,A,B,C,D,E,gold
73,증권시장,H,N,N,"유가증권시장의 매매제도에 대한 설명으로 적절한 것을 모두 고르면?㉠ 정규시장은 09:00~15:30까지 6시간 30분 간 운영된다.㉡ 유가증권시장의 호가단위는 7단계로 운영하고 있다.㉢ 거래소, ETF, ELW 모두 1주 단위로 거래한다.㉣ 유가증권 시장에서 가장 높은 호가단위는 5,000원이다.","㉠, ㉡","㉡, ㉢","㉢, ㉣","㉠, ㉡, ㉣","㉡, ㉢, ㉣",A
74,재무관리,H,N,N,A기업의 재무관련 자료는 하단과 같다고 한다. 이를 사용하여 계산한 A기업의 PBR은 얼마인가?● 총자본 : 100억 원● 순이익 : 5억 원● 자기자본 : 50억 원● 영업이익 : 8억 원● PER : 15,1.2,1.5,2,2.5,3,B
75,금융의 기초,H,N,N,다음 중 경기선행종합지수의 구성지표로 가장 적절하지 않은 것을 고르면?,광공업 생산지수,재고순환지표,기계수주액,구인·구직비율,금융기관 유동성,A
76,파생상품,H,N,N,"A주식을 기초로 하는 풋ELW가 있다. 행사가격은 10,000원이고 현재 ELW가격은 250원, 전환비율은 0.1이라고 할 때, 이 ELW의 손익분기점은 얼마인가?","6,500원","7,200원","7,500원","8,000원","8,800원",C
77,파생상품,H,N,N,"행사가격이 220인 풋옵션의 가격이 10.0에 거래되고 있다. 녹아웃(Knock-out) 풋옵션 가격이 5.0이라면, 녹인(Knock-in) 풋옵션의 가격은 얼마인가?",2,2.5,5,5.5,6,C
78,파생상품,H,N,N,"잔존만기가 3개월이고 달러당 1,250원인 유럽형 미국달러 풋옵션이 60원에 거래되고 있다. 현재 환율이 1,195원이라면, 이 풋옵션의 시간가치는 얼마인가?",5원,10원,15원,40원,55원,A
79,세법,H,N,N,금융자산이 3억 원이고 금융부채가 1억 원인 경우 금융재산 상속 공제액은 얼마인가?,"2,000만 원","3,000만 원","4,000만 원","6,000만 원",1억 원,C
80,보험상품,H,N,N,다음 중 변액보험에 대한 설명으로 가장 적절하지 못한 것을 고르면?,공시이율을 적용한다.,투자실적에 따라 보험금과 해약환급금이 변동한다.,투자에 따른 손익이 계약자에게 그대로 귀속된다.,최저보증에 한해 예금자보호법의 적용을 받는다.,변액보험 판매자격시험에 합격한 사람만이 판매가 가능하다.,A
81,화폐금융,H,N,N,"다음 중 투기적 동기의 화폐수요에 대한 설명으로 적절한 것으로 모두 고르면?㉠ 투기적 동기의 화폐수요에서 개인들은 장래의 이자율 수준을 확실히 예상하고 각 개인의 예상수준은 모두 동일함을 전제로 한다.㉡ 투기적 동기의 화폐수요는 채권가격의 하락이 예상될 때, 채권 대신 화폐를 보유하는 것을 의미한다.㉢ 이자율이 상승한다는 것은 채권가격의 상승을 예상하는 것이고 이자율이 하락한다는 것은 채권가격의 하락을 예상하는 것이다.㉣ 채권보유시의 예상수익률은 이자율()과 예상자본이득률()의 합으로 표현가능하다.","㉠, ㉡","㉠, ㉢","㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",C
82,화폐금융,H,N,Y,"다음 중 보몰(Baumol)의 거래이론이 성립함을 가정하자. 실질화폐 수요의 소득탄력성을 \alpha라고 정의하고, 이자율 탄력성을 \beta라고 정의할 때, \alpha \times \beta의 값은 얼마인가?",-1,-0.25,0,0.25,1,B
83,화폐금융,H,N,N,"CAPM 모형이 성립함을 가정하자. 시장 포트폴리오 수익률의 표준편차는 0.2, 투자자들의 평균적 위험기피정도는 2, 무위험자산의 연간 수익률을 0.03라고 한다. ㈜○○전자의 주식에 대한 \beta 값을 계산하였더니 0.6이라는 결과가 도출되었다고 한다면, ㈜○○전자 주식의 연간 기대수익률은 얼마인가?",0.055,0.064,0.078,0.085,0.095,C
84,통화량조절,H,N,N,다음 중 본원통화가 증가하는 경우를 모두 고르면?㉠ 중앙은행이 외환을 매각하는 경우㉡ 중앙은행이 시중은행에 대출을 늘리는 경우㉢ 중앙은행이 법정지급준비율을 인하하는 경우㉣ 중앙은행이 공개시장운영을 통해 통화안정증권을 매입하는 경우,"㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",B
85,통화량조절,H,N,N,"지준(지급준비금)과 관련하여 시중은행 간 초단기 대차거래 시 적용되는 금리 ( r_c )가 중앙은행의 재할인율과 동일하다고 가정할 때, 이에 대한 설명으로 적절한 것을 모두 고르면?㉠ 중앙은행의 여신량인 양(+)의 차입 지준이 존재한다.㉡ 공개시장매각이 발생하는 경우 비차입지준은 감소하는 반면 차입지준은 증가한다.㉢ 비차입 지준은 0이어야 한다.㉣ 재할인율이 하락하는 경우에도 금리 ( r_c )는 하락하지 않는다.","㉠, ㉡","㉡, ㉣","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",A
86,통화량조절,H,Y,N,"☆☆은행의 요약대차대조표가 아래와 같이 주어져 있다고 한다. 법정지급준비율이 5%라고 한다면, ☆☆은행이 보유하고 있는 초과지급준비금을 신규로 대출하는 경우 은행제도의 신용창조를 통해 증가하는 총통화량의 증가분은 최대 얼마인가?| 자산 | 부채 ||---|---|| 지급준비금 | $500 || 예금 | $2,000 || 대출 | $800 || 증권 | $700 |",$400 ,"$1,000 ","$2,500 ","$5,000 ","$8,000 ",E
87,금융의 기초개념,H,N,N,"화폐수량설과 피셔방정식이 성립한다고 가정하자. ○○국가의 2024년 화폐유통속도는 증가율은 1%, 실질경제성장률은 3%, 통화량증가율은 6%라고 한다면, ○○국가의 2024년 실질이자율은 얼마인가? (단, 명목이자율은 10%라고 가정한다.)",5%,6%,8%,10%,12%,B
88,통화량조절,H,N,N,"◇◇국가의 은행조직 전체가 보유하고 있는 지급준비금은 $100억이다. 현재 지급준비율이 10%이고, 현금/예금비율이 20%라고 한다면, ◇◇국가의 본원통화와 통화량 ( M_1 )은 각각 얼마인가? (단, 초과지급준비금은 없다고 가정한다.)","본원통화 $100억, 통화량 ( M_1 ) $500억","본원통화 $150억, 통화량 ( M_1 ) $850억","본원통화 $200억, 통화량 ( M_1 ) $950억","본원통화 $200억, 통화량 ( M_1 ) $1,000억","본원통화 $300억, 통화량 ( M_1 ) $1,200억",E
89,화폐금융,H,N,N,"다음 중 화폐수요에 대한 설명으로 적절한 것으로 모두 고르면?㉠ 신화폐수량설에 따르면 이자율의 변동이 화폐수요에 영향을 주게 된다.㉡ 보몰-토빈(Baumol-Tobin)의 재고이론에 따르면 화폐의 거래비용이 하락하는 경우 화폐의 수요는 감소한다.㉢ 화폐는 다른 금융자산에 비해 가치저장수단의 기능은 열등하다.㉣ 프리드만은 이자율이 화폐수요에 영향을 미치지 못하고 화폐수요는 기타자산, 화폐의 상대적 기대수익률, 항상소득의 함수라고 주장한다.","㉠, ㉡","㉠, ㉢","㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",E
90,한국은행의 기능,H,N,N,중앙은행의 대차대조표상 대변항목으로 가장 적절하지 못한 것을 고르면?,본원통화,정부에 대한 여신,기타부채,해외부채,정부예금,B
91,금융의 기초개념,H,N,Y,"아래와 같이 화폐시장의 상황이 하단과 같이 주어졌을 때, 화폐시장 균형에서의 국민소득에 대한 이자율 ( r )의 탄력성은 얼마인가?● 화폐수요 함수:[ \frac{M^D}{P} = 1{,}000 + 0.5Y - 150r ]● 화폐공급 함수:[ M^S = 20{,}000 ]● 물가수준 : ( P = 4 )● 국민소득 : ( Y = 8{,}900 )",( \frac{9}{92} ),( \frac{4}{11} ),( \frac{7}{13} ),( \frac{1}{2} ),( \frac{3}{4} ),A
92,국제경제학,H,Y,N,"다음의 표는 인도와 영국에서 쌀과 자동차 1단위씩을 생산하는데 필요한 노동 투입량을 나타낸다. 양국이 무역을 시작한다고 할 때, 양국 모두 동의가 가능한 상대가격(쌀가격/자동차가격)은 얼마인가?| 구분 | 쌀 | 자동차 ||---|---|---|| 인도 | 16명 | 5명 || 영국 | 8명 | 4명 |",0.8,1.2,1.5,2.5,3.5,D
93,국제경제학,H,Y,N,"2023년과 2024년의 원/달러 명목환율, 한국과 미국의 소비자물가지수(CPI)가 하단의 표와 같다고 한다. 2023년도를 기준으로 하는 경우, 2024년의 실질환율의 변화로 가장 적절한 것을 고르면? (단, 실질환율은 외국의 재화·서비스 1단위와 교환 가능한 자국의 재화·서비스의 양으로 정의한다.)| 구분 | 2023년 | 2024년 ||---|---|---|| 원/달러 명목환율 | 1,200원 | 1,272원 || 한국(CPI) | 100 | 104 || 미국(CPI) | 100 | 102 |",3% 상승,3% 하락,5% 상승,5% 하락,4% 상승,E
94,국제경제학,H,N,N,"자본의 이동이 자유로운 소국-개방경제 IS-LM-BP모형하에서 중앙은행이 인플레이션에 선제적으로 대응하기 위해 법정지급준비율을 상향 조절 하는 경우, 고정환율제와 변동환율제하에서 산출량 변화에 대한 설명으로 옳은 것을 고르면? (단, LM곡선은 우하향하고 곡선은 우상향하며, 이외의 조건은 모두 일정하다고 가정한다.)","고정환율제 감소, 변동환율제 감소","고정환율제 증가, 변동환율제 감소","고정환율제 감소, 변동환율제 불변","고정환율제 불변, 변동환율제 감소","고정환율제 불변, 변동환율제 불변",D
95,국제경제학,H,Y,N,"프랑스와 스페인이 함께 교역을 하고 있는 헥셔-올린(Heckscher-Ohlin)모형을 고려하는 경우, 양국은 자동차와 와인을 생산하며 두 재화에 대한 동일한 상대수요 곡선을 가지고 있다고 한다. 양국의 생산요소 부존량이 아래의 표와 같을 때 다음 설명 중 옳은 것을 모두 고르면? (단, 자동차는 자본 집약적 상품이고, 와인은 노동집약적 상품이라고 가정한다.)| 구분 | 노동 (L) | 자본 (K) ||---|---|---|| 프랑스 | 25 | 75 || 스페인 | 40 | 50 |㉠ 무역을 통해 자동차와 와인의 상대가격은 수렴하게 된다.㉡ 프랑스는 자본이 풍부한 국가이고 스페인은 노동이 풍부한 국가이다.㉢ 자유무역이 이루어지는 경우 프랑스에서는 자본에 대한 노동의 상대요소 가격이 상승하고 노동에 대한 자본의 상대요소 가격은 하락한다.㉣ 프랑스는 와인 생산에 비교우위를 가지고 있다.","㉠, ㉡","㉠, ㉢","㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",A
96,국제경제학,H,N,N,"국내기업인 ㈜△△푸드는 포르투갈에서 올리브를 수입하여 올리브오일을 생산하는 기업이다. 올리브의 수입 가격은 톤당 4만 원이고, 올리브오일의 가격은 톤당 10만 원이라고 한다. 만약 정부에서 올리브 수입가에 20%의 관세를 부과하고, 올리브오일 수입가에 대해서는 50%의 관세를 부과한다면, 실효보호관세율은 몇 %인가? (단, 올리브오일은 올리브만을 중간재로 사용하고 이외의 조건은 모두 일정하다고 가정한다.)",50%,55%,60%,65%,70%,E
97,국제경제학,H,N,N,"엔화의 1년 선물 환율은 1엔당 0.007달러이고, 현물 환율은 1엔당 0.006달러라고 한다. 달러 예금의 1년 만기 수익률은 5%, 엔화예금 수익률은 3%이고 거래비용이 존재하지 않는다고 가정할 때, 위험회피 이자율 평형조건에 따라 달러당 엔화 예금과 달러 예금 간의 수익률 차이는 약 얼마인가?",8%p,10%p,15%p,18%p,20%p,C
98,국제경제학,H,N,N,"헥셔-올린 모형에서 옷 1단위 생산에 노동과 자본이 각각 5단위와 1단위가 투입되며, 식품 1단위 생산에서는 모두 1단위씩만 투입된다. 만약 옷 가격만 50% 상승하는 경우의 기존 대비 임대료 변화와 식품 가격만 50% 상승하는 경우 기존 대비 임대료 변화를 바르게 짝지은 것을 고르면? (단, 노동비용인 임금과 자본비용인 임대료는 단위당 $2로 동일하다고 가정한다.)","자본의 임대료 변화 (옷 가격만 50% 상승시) 25% 상승, 자본의 임대료 변화 (식품 가격만 50% 상승시) 50% 상승","자본의 임대료 변화 (옷 가격만 50% 상승시) 25% 상승, 자본의 임대료 변화 (식품 가격만 50% 상승시) 50% 하락","자본의 임대료 변화 (옷 가격만 50% 상승시) 75% 하락, 자본의 임대료 변화 (식품 가격만 50% 상승시) 125% 상승","자본의 임대료 변화 (옷 가격만 50% 상승시) 100% 하락, 자본의 임대료 변화 (식품 가격만 50% 상승시) 100% 상승","자본의 임대료 변화 (옷 가격만 50% 상승시) 125% 하락, 자본의 임대료 변화 (식품 가격만 50% 상승시) 50% 상승",C
99,국제경제학,H,N,Y,국내 닭고기를 독점적으로 공급하는 ○○푸드의 총 비용함수와 시장 수요 함수가 아래와 같다고 할 때 다음 물음에 답하시오.● 닭고기 수요함수:[ Q_d = -P + 80 ]● 닭고기 총비용 함수:[ TC = Q^2 + 100 ]닭고기 수입이 허용되기 이전 이윤의 극대화를 추구하는 국내 닭고기 시장을 독점하고 있는 ○○푸드의 공급가격 및 독점 공급량은 각각 얼마인가?,"공급가격 90, 독점 공급량 30","공급가격 80, 독점 공급량 40","공급가격 75, 독점 공급량 45","공급가격 70, 독점 공급량 50","공급가격 60, 독점 공급량 20",E
100,국제경제학,H,N,Y,국내 닭고기를 독점적으로 공급하는 ○○푸드의 총 비용함수와 시장 수요 함수가 아래와 같다고 할 때 다음 물음에 답하시오.● 닭고기 수요함수:[ Q_d = -P + 80 ]● 닭고기 총비용 함수:[ TC = Q^2 + 100 ]정부가 해외로부터의 닭고기를 수입하기로 결정하고 수입쿼터를 20단위로 설정하는 경우 ○○푸드의 닭고기 공급가격과 공급량은 각각 얼마인가?,"공급가격 40, 공급량 10","공급가격 45, 공급량 15","공급가격 50, 공급량 20","공급가격 55, 공급량 30","공급가격 60, 공급량 40",B
